timestamp,efficiency,tirePressure,cruiseControl,vehicleIdling,trafficSituation,weather,roadSlope,suddenAcceleration,suddenDeceleration,vehicleSpeeding
00:00,68,Good,ON,Good,Bad,Good,Good,Bad,Bad,Good
00:01,72,Good,ON,Good,Bad,Good,Good,Bad,Good,Good
00:02,78,Good,ON,Good,Good,Good,Good,Good,Good,Good
00:03,75,Good,OFF,Bad,Good,Bad,Good,Good,Good,Good
00:04,70,Bad,OFF,Bad,Good,Bad,Bad,Bad,Good,Bad
00:05,78,Good,ON,Good,Good,Good,Good,Good,Good,Good
00:06,82,Good,ON,Good,Good,Good,Good,Good,Good,Good
00:07,80,Good,ON,Good,Bad,Good,Good,Bad,Bad,Good
00:08,85,Good,ON,Good,Good,Good,Good,Good,Good,Good
00:09,88,Good,ON,Good,Good,Good,Good,Good,Good,Good
00:10,92,Good,ON,Good,Bad,Good,Good,Bad,Bad,Good
00:11,80,Good,ON,Good,Good,Good,Good,Good,Good,Good
00:12,85,Good,ON,Good,Good,Good,Good,Good,Good,Good
00:13,90,Good,ON,Good,Good,Good,Good,Good,Good,Good
00:14,87,Good,ON,Good,Bad,Good,Good,Bad,Good,Good
00:15,83,Good,OFF,Good,Good,Good,Good,Good,Good,Good
00:16,79,Bad,OFF,Bad,Bad,Bad,Bad,Bad,Bad,Bad
00:17,82,Good,ON,Good,Good,Good,Good,Good,Good,Good
00:18,86,Good,ON,Good,Good,Good,Good,Good,Good,Good
00:19,89,Good,ON,Good,Good,Good,Good,Good,Good,Good
00:20,94,Good,ON,Good,Good,Good,Good,Good,Good,Good
